personid,tenure,expgroup,men,high_school,promote_switch,perform10,perform11,perform11_expgroup
38925.066,10.0151205,-0.034819722,-0.00742054,0.00033009052,0.0010005236,-0.46036744,-0.747617,-0.0109295845
25508.713,32.43813,0.98520696,0.99125254,-0.00081157684,-0.00017416477,-0.77080154,-0.73328304,-0.7435597
38611.61,11.498435,1.0600283,-0.0131344795,-0.0013382435,-0.00092434883,0.13847852,0.11924219,0.10123408
25505.666,35.37182,1.0531409,1.0859096,-0.0020844936,-0.0011980534,-0.8188728,-0.80378604,-0.8405441
39195.074,10.048371,0.95828104,0.018076181,0.00063574314,0.002485633,0.33684587,0.2736094,0.30629313
14605.752,53.292946,0.9710076,1.0300171,-0.0011874437,-0.0014880896,-1.1495514,-1.2000916,-1.2419593
23624.102,35.411694,0.9994495,1.0865927,-0.0013430119,-0.00049078465,-0.8897655,-1.0440726,-1.0714011
26367.639,31.956722,0.95458066,1.0868857,-0.0013154745,-0.0010316372,-0.7815318,-0.8149009,-0.7469592
41853.24,5.6722207,0.04389751,0.93272984,0.0025105476,0.0018154383,-0.76451886,-0.8516754,-0.0051442385
25348.352,33.42951,1.0063801,1.029376,-0.001412034,-0.0010360479,-0.7439027,-0.6318692,-0.6356884
21141.518,36.217384,1.080241,0.9569533,0.0040768385,0.0029184818,-0.21680498,0.003911972,0.11705172
39113.89,9.435857,-0.0785563,-0.000818491,-0.001047492,0.0016239882,-0.49608445,-0.8665216,-0.007133484
40033.566,8.447313,-0.03856063,-0.0001718998,0.00014519691,0.0010035038,-0.4300598,-1.0901799,0.02442503
26056.953,31.211075,1.0064096,1.1156809,-0.0022718906,-0.0010069609,-0.81871176,-1.0713549,-1.0968308
39258.78,9.685457,1.0991328,-0.029006362,-0.004267812,-0.0007107258,0.11388588,0.039757967,-0.013017654
23155.855,36.05859,0.99527454,1.0411167,-0.00053310394,0.00023901463,-0.92130864,-0.97183836,-0.9976363
37928.37,11.145766,1.0101261,0.013416529,-0.0007570982,0.0021862984,0.093796134,-0.022441387,-0.01544106
38224.93,10.870705,1.0081763,0.006390691,-0.0013530254,0.0012298822,0.08148563,-0.016138315,-0.02294743
26851.838,30.4715,1.0264769,1.1970048,-0.0021436214,-0.000698328,-0.72903,-1.0973346,-1.1389897
28046.506,28.051725,0.973835,1.0296898,-0.0010223389,-0.00032913685,-0.66334,-0.9746046,-1.0006785
39438.19,9.4019575,0.98762906,-0.0140782595,-0.0008940697,0.00067842007,0.31332886,0.27032113,0.2677555
38194.67,12.371896,0.025454283,0.94740355,0.0019567013,0.0034365654,-0.1803422,-0.21985829,0.027172327
31329.293,24.716038,1.0059001,1.0024748,-0.0014400482,-0.00067448616,-0.42227507,-1.2741325,-1.2839849
42620.652,5.5732203,0.024122953,1.0929031,0.00032436848,0.0016595125,-0.76912475,-0.99931026,0.01854825
24415.447,34.57034,0.95170367,0.9976363,0.00015759468,0.000114798546,-0.5184126,-0.15641868,-0.1716392
41895.367,6.0218678,0.016115665,0.9854686,0.00038599968,0.0012364388,-0.71051764,-0.9231441,0.027014375
31073.42,25.095842,1.0218632,1.138807,-0.0017672777,-0.0006687641,-0.4499128,-1.2199872,-1.2325809
25659.494,33.67844,0.95478547,0.9613974,0.00032305717,7.867813e-05,-0.72663534,-0.66493034,-0.6313677
21071.857,37.079952,1.0523887,0.9870683,0.0029203892,0.0014361143,-0.24650168,0.04592538,0.10862219
39436.05,12.150013,0.9724709,-0.0055178404,0.00101614,0.0011287928,0.4560392,0.6564522,0.6651218
27204.943,30.33061,1.0175543,1.075115,-0.0021574497,-0.0012328625,-0.7365341,-0.96672,-0.99711895
22137.295,37.1047,1.0568423,1.1586401,-0.0015318394,-0.0028823614,-0.3813498,0.11398065,0.09651828
39594.105,9.649253,0.0027537346,0.03266263,0.001499176,0.0018581152,-0.37943983,-1.1263912,-0.0073548555
39017.406,10.6925125,0.5026593,-0.015990734,0.0026240349,0.00056266785,-0.03982854,0.10471463,0.17483461
22746.316,37.15605,1.023356,1.0952249,-0.0016430616,-0.0001142025,-0.96143365,-0.9630481,-0.9795085
41913.562,7.1579885,0.050206542,0.14441133,0.001947999,0.0014220476,0.24216723,0.74407744,0.1506443
38653.254,11.4071045,0.024725199,0.7959082,0.002406001,0.0038878918,-0.22446096,-0.13134575,0.01437223
25319.19,33.88759,1.0787947,1.2919407,-0.003894806,-0.002775073,-0.860618,-1.2029438,-1.252578
22813.33,37.274376,0.97832084,1.0239813,-0.0017855167,-0.0021668673,-0.92291355,-0.89976966,-0.9206376
29694.848,25.564455,0.9957893,1.0056827,-0.0018062592,-0.00018084049,-0.5300424,-1.1891892,-1.2028756
39038.465,12.274234,0.94251037,0.02635777,0.0018824339,0.0019824505,0.37657022,0.67932904,0.6697178
